Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
150,The polarization of thermal dileptons emitted in high-energy heavy-ion collisions,No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Oral presentation,Oral presentation
342,Heavy Quark Quenching in the Hybrid Strong/Weak-Coupling Model,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Oral presentation,Oral presentation
195,"Testing lQCD Spatial Diffusion Coefficient Through Heavy-Flavor $R_{AA}$, $v_2$, and $v_3$ in Event-by-Event Transport approach",No,Submitted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,,Oral presentation
28,Neural Unfolding of the Chiral Magnetic Effect in Heavy-Ion Collisions,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
18,Non-perturbative heavy quark diffusion in magnetic field,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
108,To study the motion of the heavy quark  in hot QCD matter through the fractional Langevin equation in anomalous diffusion,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
47,JIe Zhou,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
154,Causal third-order viscous hydrodynamics from kinetic theory,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
22,Dilepton production in a magnetised quark gluon plasma,No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
118,Viscous properties and expansion dynamics of a rotating QGP medium,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
189,Unraveling Jet-medium Interaction with Energy Correlators in Relativistic Oxygen Collisions,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
377,Integrating Rivet into Bayesian parameter estimation,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
308,High-$p_T$ $v_2$ from Wave Diffraction,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
369,Large scale comparisons between data and models using Rivet,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Poster presentation
168,Solving the Boltzmann equation for heavy quarks using heavy quark phonon effective theory ($\phi$-EFT),No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Poster presentation
155,A model-independent probe of nuclear structure in heavy-ion collisions: a Neural Network framework,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
73,Radius Dependence of Jet Quenching in Central Pb+Pb Collisions at $\sqrt{s_{NN}}=5.02~\mathrm{TeV}$ with $R_{AA}^{R/0.2}$ and $S_{\mathrm{loss}}$,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
385,A multi-scale approach to jet reconstruction,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
110,Mapping the Gluon Structure of Lead Nuclei with Photonuclear Jets at ALICE,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Poster presentation
115,Measurement of Jet Azimuthal Anisotropy ($v_n$) in sPHENIX Au+Au collisions at $\sqrt{s_{NN}} = 200 \text{ GeV}$,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Poster presentation
122,Exploring small-angle emissions in D0-tagged jets in Pb-Pb collisions at 5.02 TeV,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
